University	Faculty	Program (EN)	Program (ZH)	Degree	Mode	Duration	Tuition Total (HKD)	Tuition Annual (HKD)	Application Opens	Main Deadline	Late Deadline	IELTS	TOEFL	Other English	Other Requirements	Official URL
HKUST	School of Engineering	MSc in Information Technology	信息技術碩士	MSc	Full-time & Part-time	1 year (FT) / 2 years (PT)	180000		1 Sep 2025	1 Dec 2025	1 Mar 2026	6.5 (sub 5.5)	80	N/A	Bachelor's in IT/CS/Engineering	https://prog-crs.ust.hk/pgprog/2025-26/msc-it
HKUST	School of Science	MSc in Financial Mathematics	金融數學碩士	MSc	Full-time	1 year	210000		1 Sep 2025	1 Dec 2025	1 Mar 2026	6.5 (sub 5.5)	80	N/A	Strong quantitative background	https://prog-crs.ust.hk/pgprog/2025-26/msc-fm
HKUST	HKUST Business School	MBA Program	工商管理碩士	MBA	Full-time	16 months	585000		1 Sep 2025	8 Oct 2025	1 Apr 2026	6.5	80	GMAT/GRE required	Min 2 years work experience	https://mba.hkust.edu.hk
HKUST	School of Humanities and Social Science	MA in International Language Education	國際語言教育文學碩士	MA	Full-time & Part-time	1 year (FT) / 2 years (PT)	120000		1 Sep 2025	1 Feb 2026	N/A	6.5 (sub 5.5)	80	N/A	Bachelor's in any discipline	https://prog-crs.ust.hk/pgprog/2025-26/maile
PolyU	Faculty of Science	MSc in Data Science and Analytics	數據科學及分析碩士	MSc	Full-time & Part-time	1.5 years (FT) / 3 years (PT)	186000		1 Sep 2025	30 Apr 2026	N/A	6.0	80	N/A	Bachelor's in computing/maths	https://www.polyu.edu.hk/comp/study/taught-postgraduate/msc-dsa
PolyU	Faculty of Engineering	MSc in Engineering Business Management	工程商業管理碩士	MSc	Full-time	1.5 years	171000		1 Sep 2025	30 Apr 2026	N/A	6.0	80	N/A	Bachelor's in engineering	https://www.polyu.edu.hk/ise/study/taught-postgraduate/msc-ebm
PolyU	Faculty of Humanities	MA in Translation and Interpreting	翻譯與傳譯文學碩士	MA	Full-time & Part-time	1.5 years (FT) / 3 years (PT)	162000		1 Sep 2025	30 Apr 2026	N/A	6.5 (sub 6.0)	90	N/A	Bilingual proficiency EN/ZH	https://www.polyu.edu.hk/cbs/study/taught-postgraduate/ma-ti
PolyU	School of Hotel and Tourism Management	MSc in Global Hospitality Business	環球酒店業管理碩士	MSc	Full-time	1 year	177000		1 Sep 2025	30 Apr 2026	N/A	6.0	80	N/A	Hospitality background preferred	https://www.polyu.edu.hk/shtm/study/taught-postgraduate/msc-ghb
CityU	College of Computing	MSc in Computer Science	電腦科學碩士	MSc	Full-time	1 year	186000		1 Sep 2025	31 Jan 2026	N/A	6.5	79	CET-6: 490	Bachelor's in CS/IT/Engineering	https://www.cityu.edu.hk/pg/programme/p52
CityU	School of Creative Media	MA in Creative Media	創意媒體文學碩士	MA	Full-time	1 year	148000		1 Sep 2025	31 Jan 2026	N/A	6.5	79	CET-6: 490	Portfolio required	https://www.cityu.edu.hk/pg/programme/p38
CityU	College of Business	MSc in Business and Data Analytics	商業及數據分析碩士	MSc	Full-time	1 year	210000		1 Sep 2025	31 Jan 2026	N/A	6.5	79	CET-6: 490	Strong quantitative background	https://www.cityu.edu.hk/pg/programme/p78
CityU	School of Law	LLM in Arbitration and Dispute Resolution	仲裁及爭議解決法學碩士	LLM	Full-time & Part-time	1 year (FT) / 2 years (PT)	167000		1 Oct 2025	28 Feb 2026	N/A	7.0	97	N/A	LLB or equivalent	https://www.cityu.edu.hk/slw/llmadr
HKBU	Faculty of Science	MSc in Data Analytics and Artificial Intelligence	數據分析及人工智能碩士	MSc	Full-time	1 year	180000		1 Sep 2025	1 Jun 2026	N/A	6.5	79	N/A	Bachelor's in computing/maths	https://gs.hkbu.edu.hk/programmes/master-of-science-msc-in-data-analytics-and-artificial-intelligence
HKBU	School of Communication	MA in Communication	傳播學文學碩士	MA	Full-time	1 year	140000		1 Sep 2025	28 Feb 2026	30 Apr 2026	6.5	79	N/A	Media experience preferred	https://comd.hkbu.edu.hk/masters/macomm
HKBU	School of Business	MSc in Applied Accounting and Finance	應用會計與金融碩士	MSc	Full-time	1 year	120000		1 Sep 2025	1 Mar 2026	N/A	6.5	79	N/A	Accounting/finance background	https://bus.hkbu.edu.hk/mscaaf
LingU	Faculty of Business	MSc in Artificial Intelligence and Business Analytics	人工智能與商業分析碩士	MSc	Full-time	1 year	150000		1 Nov 2025	30 Apr 2026	Rolling	6.5	79	CET-6: 450	Quantitative skills preferred	https://www.ln.edu.hk/progs/msc-aiba
LingU	Faculty of Social Sciences	MA in International Affairs	國際事務文學碩士	MA	Full-time	1 year	105000		1 Nov 2025	30 Apr 2026	Rolling	6.5	79	N/A	Social sciences background	https://www.ln.edu.hk/progs/maia
EdUHK	Graduate School	Master of Education	教育碩士	MEd	Full-time & Part-time	1 year (FT) / 2 years (PT)	120000		1 Oct 2025	28 Feb 2026	30 Apr 2026	6.0	80	N/A	Teaching experience preferred	https://www.eduhk.hk/med
EdUHK	Dept of English Language Education	MA in TESOL	英語教學文學碩士	MA	Full-time	1 year	120000		1 Oct 2025	28 Feb 2026	30 Apr 2026	6.5 (sub 6.0)	80	N/A	English teaching experience preferred	https://www.eduhk.hk/matesol
EdUHK	Dept of Mathematics and IT	MSc in AI and Educational Technology	人工智能與教育科技碩士	MSc	Full-time	1 year	138000		1 Oct 2025	28 Feb 2026	N/A	6.0	80	N/A	Bachelor's in IT/Education	https://www.eduhk.hk/mscaiet
HKMU	School of Science and Technology	MSc in Environmental Science and Management	環境科學與管理碩士	MSc	Full-time & Part-time	1 year (FT) / 2 years (PT)	102000		1 Nov 2025	31 May 2026	N/A	6.0	79	CET-6: 430	Science background	https://www.hkmu.edu.hk/st/mscesm
HKMU	Lee Shau Kee School of Business	Master of Business Administration	工商管理碩士	MBA	Full-time & Part-time	2 years	132000		1 Nov 2025	31 May 2026	N/A	6.0	79	CET-6: 430	3 years work experience recommended	https://www.hkmu.edu.hk/ba/mba
HKMU	School of Science and Technology	Master of Chinese Medicine	中醫學碩士	MChinMed	Part-time	3 years	92000		1 Nov 2025	31 May 2026	N/A	N/A	N/A	Chinese medium	Chinese medicine degree	https://www.hkmu.edu.hk/st/mcm
HKSYU	Dept of Counselling and Psychology	MA in Counselling Psychology	輔導心理學文學碩士	MA	Full-time	2 years	108000		1 Nov 2025	28 Feb 2026	N/A	6.0	79	N/A	Psychology background	https://www.hksyu.edu/student/postgraduate-programmes/macp
HKSYU	Dept of Computing	MSc in Data Science and Business Intelligence	數據科學與商業智能碩士	MSc	Full-time	1 year	84000		1 Nov 2025	30 Apr 2026	N/A	6.0	79	N/A	IT background preferred	https://www.hksyu.edu/student/postgraduate-programmes/mscdbi
HSUHK	School of Business	MSc in Entrepreneurial Management	創業管理碩士	MSc	Full-time	1 year	120000		1 Nov 2025	30 Jun 2026	Rolling	6.0	79	CET-6: 430	Bachelor's degree	https://mscent.hsu.edu.hk
HSUHK	School of Translation	MA in Translation (Computer-Aided Translation)	翻譯文學碩士(電腦輔助翻譯)	MA	Full-time & Part-time	1 year (FT) / 2 years (PT)	121200		1 Nov 2025	30 Apr 2026	N/A	6.5	79	N/A	Bilingual proficiency	https://translation.hsu.edu.hk/ma
SFU	Dept of Business	MSc in Applied Finance	應用金融碩士	MSc	Full-time	1 year	100000		1 Jan 2026	30 Jun 2026	N/A	6.0	79	N/A	Business background	https://www.sfu.edu.hk/mscaf
SFU	Dept of Social Work	Master of Social Work	社會工作碩士	MSW	Full-time & Part-time	2 years (FT) / 3 years (PT)	85000		1 Jan 2026	30 Apr 2026	N/A	6.0	79	N/A	Social work experience preferred	https://www.sfu.edu.hk/msw
HKAPA	School of Drama	MFA in Drama	戲劇藝術碩士	MFA	Full-time	2 years	60000		1 Oct 2025	15 Jan 2026	N/A	6.0	79	N/A	Audition and portfolio required	https://www.hkapa.edu/drama/postgraduate
HKAPA	School of Music	MFA in Music	音樂藝術碩士	MFA	Full-time	2 years	98400		1 Oct 2025	15 Jan 2026	N/A	6.0	79	N/A	Music degree; audition required	https://www.hkapa.edu/music/postgraduate
TWC	School of Medical and Health Sciences	MSc in Medical Laboratory Science	醫療化驗科學碩士	MSc	Part-time	2 years	120000		1 Jan 2026	30 Apr 2026	N/A	6.0	79	N/A	Medical lab science degree	https://www.twc.edu.hk/en/programmes/msc-mls
TWC	School of Nursing	Master of Nursing	護理學碩士	Other	Part-time	2 years	100000		1 Jan 2026	30 Apr 2026	N/A	6.0	79	N/A	BN; registered nurse 1+ year	https://www.twc.edu.hk/en/programmes/mn
THEi	Faculty of Science and Technology	MSc in Testing and Certification	檢測和認證碩士	MSc	Part-time	2 years	105000		1 Jan 2026	31 May 2026	N/A	6.0	79	N/A	Science/engineering degree	https://www.thei.edu.hk/programme/msctc
THEi	Faculty of Design and Environment	MSc in Smart and Sustainable Construction	智慧及可持續建築碩士	MSc	Part-time	2 years	105000		1 Jan 2026	31 May 2026	N/A	6.0	79	N/A	Construction/engineering degree	https://www.thei.edu.hk/programme/mscsc
